,run number,position,sector,index,thickness,wavelength,filename
17,180627-9,top,omega,2.4674262444712953,139.17336324420575,457.8666786667867,180627-9 top omega.Sample.asc
15,180627-9,mid,omega,2.4547849881889223,143.21772268394687,468.7582875828758,180627-9 mid omega.Sample.asc
13,180627-9,bot,omega,2.438512803968348,145.15473900357287,471.9489194891949,180627-9 bot omega.Sample.asc
16,180627-9,top,alpha,2.4723774621256434,138.54576439948409,456.7165671656717,180627-9 top alpha.Sample.asc
14,180627-9,mid,alpha,2.447174247264136,143.11572936942193,466.97216972169724,180627-9 mid alpha.Sample.asc
12,180627-9,bot,alpha,2.4366332818015546,144.27157258118078,468.7158871588716,180627-9 bot alpha.Sample.asc
11,180627-8,top,omega,2.47905417251331,138.6424370358429,458.26948269482693,180627-8 top omega.Sample.asc
9,180627-8,mid,omega,2.456046236912778,143.68150875199547,470.5179051790518,180627-8 mid omega.Sample.asc
7,180627-8,bot,omega,2.4422993148581793,144.50652183976348,470.5709057090571,180627-8 bot omega.Sample.asc
10,180627-8,top,alpha,2.4781925262211084,138.61044144031627,458.00448004480046,180627-8 top alpha.Sample.asc
8,180627-8,mid,alpha,2.4539705376813954,143.78036447868405,470.4437044370444,180627-8 mid alpha.Sample.asc
6,180627-8,bot,alpha,2.447868464833966,143.19530859946659,467.3643736437364,180627-8 bot alpha.Sample.asc
5,180625-4,top,N/A,2.5163422472176453,139.21816620647942,467.0940709407094,180625-4 z top.Sample.asc
4,180625-4,mid,N/A,2.4960010432301196,142.8928655998697,475.5476554765548,180625-4 z mid.Sample.asc
3,180625-4,bot,N/A,2.4772962578641233,144.72753680214797,478.0439804398044,180625-4 z bot.Sample.asc
2,180625-3,top,N/A,2.5000025355282824,138.79087714690138,462.6367263672637,180625-3 z top.Sample.asc
1,180625-3,mid,N/A,2.4794562826795072,142.47241825113753,471.00551005510056,180625-3 z mid.Sample.asc
0,180625-3,bot,N/A,2.4564433153063594,146.08074249247665,478.45208452084523,180625-3 z bot.Sample.asc
